statistical	statistikos
violation	pažeidimas
bare	plikas
bind	įpareigoti
give out	atiduoti
analysis	analizė
suspect	įtariamasis
machine	mašina
wall	sienos
murder	žmogžudystė
therapy	terapija
express	išreikšti
code	kodas
break in	įsilaužti
belly	pilvas
emotion	emocijos
article	straipsnis
guideline	gairės
wow	oho
no	ne
correlation	koreliacija
feather	plunksna
try	bandyti
patience	kantrybė
scientific	mokslo
sand	smėlis
whisper	šnabždesys
gender	lytis
handful	sauja
knife	peilis
scream	rėkti
nominee	kandidatas
oxygen	deguonies
grow	augti
mouth	burna
assign	priskirti
senator	senatorius
expense	išlaidos
character	charakteris
recall	prisiminti
diminish	mažėja
protest	protestuoti
what	ką
structure	struktūra
century	amžiaus
yesterday	vakar
adjust	reguliuoti
sibling	broliai
silent	tylus
surgeon	chirurgas
invasion	invazija
trigger	sukelti
intensity	intensyvumas
killer	žudikas
immune	imuninis
concern	susirūpinimas
bible	biblija
thumb	nykščiu
unique	unikalus
occasion	proga
minority	mažuma
pant	alsuoti
waist	juosmens
deposit	užstatas
horrible	siaubingas
tear off	nuplėšti
suddenly	staiga
prisoner	kalinys
journalism	žurnalistika
length	ilgis
heal	išgyti
catholic	katalikas
cut down	nupjauti
tough	sunku
slide	skaidrė
discussion	diskusija
seriously	rimtai
guess	atspėti
our	mūsų
their	jų
consist	sudaryti
eligible	reikalavimus
review	peržiūra
serious	rimtas
graduate	absolventas
conflict	konfliktas
dirty	purvinas
rating	įvertinimas
beef	jautiena
born	gimęs
anxious	neramus
heart	širdis
phrase	frazė
acquisition	įsigijimas
with	su
twin	dvivietis
monster	monstras
society	visuomenei
norm	norma
destruction	sunaikinimo
laundry	skalbiniai
legislature	teisės aktų leidėjo
politician	politikas
reinforce	sustiprinti
sport	sportas
best	geriausias
electrical	elektros
aide	aide
routine	rutina
functional	funkcionalus
drawer	stalčius
silence	tyla
hook up	pakabinti
neighboring	kaimyninės
aids	aids
switch	jungiklis
quality	kokybė
layer	sluoksnis
western	vakarų
overlook	nepastebėkite
resort	kurortas
competition	varžybos
arrow	rodyklė
rely	pasitikėti
village	kaimas
would	būtų
dismiss	atleisti
warm	šiltas
joy	džiaugsmas
equation	lygtis
pit	duobė
except	išskyrus
statement	pareiškimas
intention	ketinimzx
junior	jaunesnysis
stadium	stadionas
hormone	hormonas
everything	viskas
locate	suraskite
reporter	reporteris
foreigner	užsienietis
air	oro
punishment	bausmė
missile	raketos
conversation	pokalbį
unless	nebent
negotiation	derybos
invest	investuoti
globe	gaublys
dignity	orumą
fee	rinkliava
dig	kasti
marketing	rinkodara
jazz	džiazas
wing	sparnas
lately	pastaruoju metu
defeat	nugalėti
drinking	gėrimas
lifestyle	gyvenimo būdas
interested	suinteresuotas
hello	sveiki
same	tas pats
changing	keičiasi
grant	dotacija
began	 bepradėjo
mixture	mišinys
rider	vairuotojas
sequence	seka
prevention	prevencija
relationship	santykiai
play	žaisti
point	taškas
restore	atkurti
investment	investicijas
illness	liga
gear	pavara
decline	mažėti
freeze	užšaldyti
react	reaguoti
tune	sureguliuoti
frown	įtrinti
bet	lažybos
innocent	nekaltas
flash	blykstė
broad	platus
attach	pridėti
long	ilgai
break out	išardykite
firmly	tvirtai
added	pridėta
instrument	instrumentas
collar	apykaklė
dance	šokis
historically	istoriškai
specialty	specialybė
suspicious	įtartinas
section	skyrius
founder	įkūrėjas
chew	kramtyti
mandate	mandatas
flame	liepsna
stand	stovėti
speculate	spėlioti
cruise	kruizas
blend	maišyti
full-time	pilnas laikas
slave	vergas
balanced	subalansuota
reduction	sumažinimas
information	informacija
ideal	idealus
genre	žanras
cholesterol	cholesterolio
represent	atstovauti
ready	pasiruošęs
date	data
prefer	nori
grateful	dėkingas
entitle	teisė
listen	klausykitės
health	sveikata
bolt	varžtas
hypothesis	hipotezė
race	lenktynės
blow	pūsti
dream	svajonė
earth	žemė
expand	išplėsti
thirty	trisdešimt
excited	susijaudinęs
per	už
hill	kalnas
run down	partrenkti
terribly	baisiai
rich	turtingas
football	futbolas
experimental	eksperimentinis
continent	žemynas
full	pilnas
administration	administracija
hold off	susilaikyti
physically	fiziškai
comment	komentaras
chaos	chaosas
cast	mesti
critic	kritikas
billion	milijardas
toward	link
maximum	maksimaliai
fool	kvailys
temple	šventykla
liberal	liberalus
dry up	išsausinti
columnist	kolonistas
officially	oficialiai
render	padaryti
wealthy	pasiturintis
investigate	ištirti
second	antra
hunt	medžioti
declare	paskelbti
much	daug
lawsuit	ieškinys
reference	nuoroda
turn out	pasukti
bicycle	dviratis
although	nors
whereas	kadangi
risk	rizika
exciting	jaudinantis
loyalty	lojalumas
swimming	plaukimas
rebel	sukilėliai
deep	giliai
half	pusė
snap	snap
soup	sriuba
senate	senatas
metropolitan	didmiestis
season	sezonas
mutter	sukrėtimas
persian	persų kalba
﻿cancel	atšaukti
southern	pietus
setting	nustatymas
visual	vizualiai
explain	paaiškinkite
twelve	dvylika
or	arba
terrorist	teroristas
trauma	trauma
cartoon	animacinis filmas
trade in	išmainyti
virus	virusas
afford	pajėgti
weave	pynimas
faculty	fakultetas
historian	istorikas
requirement	reikalavimas
collective	kolektyvinis
cash	grynieji pinigai
vital	gyvybiškai svarbu
plaintiff	ieškovas
largely	daugiausia
sister	sesuo
constitution	konstitucija
cooperative	kooperatyvas
fade	išnyks
candy	saldainiai
chase	vytis
ambassador	ambasadorius
table	lentelė
friend	draugas
old-fashioned	senamadiškas
label	etiketė
cheer	nudžiuginti
unexpected	netikėta
find out	išsiaiškinti
save	sutaupyti
toy	žaislas
format	formatą
had	turėjo
incorporate	įtraukti
chest	krūtinė
farmer	ūkininkas
exceed	viršyti
written	parašytas
remaining	likę
use up	sunaudoti
likewise	taip pat
composition	sudėtis
civil	pilietinės
debt	skolos
satisfy	patenkinti
wear out	susidėvėti
merit	nuopelnus
contributor	pagalbininkas
kneel	nuleisti
serve	tarnauti
crystal	krištolas
publicly	viešai
regulation	reglamentavimas
sphere	sfera
lift up	pakelti
victory	pergalė
offender	nusikaltėlis
tank	bakas
mixed	sumaišytas
revelation	apreiškimas
sensation	pojūtis
courtroom	teismo salė
consideration	svarstymas
direct	nukreipti
longtime	ilgas laikas
ship	laivas
known	žinomas
moderate	vidutinio sunkumo
wet	šlapias
tolerate	toleruoti
tag	pažymėti
cliff	uolos
association	asociacija
come	ateiti
pocket	kišenėje
valuable	vertingas
pursuit	siekimas
creature	padaras
extraordinary	nepaprastas
tactic	taktika
bubble	burbulas
wrap up	apvynioti
substantial	didelė
country	šalis
it	šitai
subsidy	subsidija
foundation	fondas
discipline	drausmės
inspiration	įkvėpimo
orientation	orientacija
house	namas
poster	plakatas
uniform	uniforma
beside	šalia
realistic	realus
home	namai
region	regionas
necessarily	būtinai
empire	imperija
parish	parapija
decade	dešimtmetis
hire	samdyti
discount	nuolaida
demographic	demografija
down	žemyn
shallow	sekli
register	registruotis
advanced	pažengęs
prediction	prognozavimas
sodium	natris
responsibility	atsakomybė
through	per
whatever	nesvarbu
somehow	kažkaip
pistol	pistoletas
ourselves	mes patys
decent	padorus
rub	patrinti
management	valdymas
administer	administruoti
generate	generuoti
excitement	jaudulys
laboratory	laboratorija
provoke	išprovokuoti
homework	namų darbai
move	judėti
freshman	naujokas
pen	tušinukas
cloth	audinys
police	policija
pet	naminis gyvūnėlis
casual	kasdienis
beard	barzda
violence	smurto
calm	ramus
focus	sutelkti dėmesį
growing	augimas
execution	vykdymas
track	stebėti
celebrate	švesti
rent	nuoma
decide	nuspręsti
electricity	elektros energijos
ice	ledas
narrative	pasakojimas
try out	pabandyti
letter	laiškas
rescue	gelbėti
vertical	vertikaliai
thousand	tūkstantis
scholar	mokslininkas
conversion	konversija
go in	užsiimti
perhaps	galbūt
marine	jūrų
autonomy	autonomija
compare	palyginti
die	mirti
accuse	kaltinti
alliance	aljansas
sea	jūros
east	rytai
summary	santrauka
lead	vadovauti
communicate	bendrauti
shopping	apsipirkti
fall out	susipykti
drug	narkotikai
brother	brolis
hell	pragaras
ear	ausis
leg	koja
separate	atskirai
notebook	užrašų knygutė
ceiling	lubos
argue	teigti
promise	pažadas
chance	tikimybė
loan	paskola
clean out	išvalyti
pray	melskitės
performance	spektaklis
predator	plėšrūnas
conventional	sutartinis
popularity	populiarumas
decorate	dekoruoti
dark	tamsus
cave	urvas
agree	sutikti
accomplishment	pasiekimas
evening	vakare
departure	išvykimo
desperately	beviltiškai
injure	sužeisti
administrator	administratorius
existing	esamas
software	programinė įranga
demonstrate	demonstruoti
sales	pardavimai
suicide	savižudybė
wisdom	išmintis
coordinator	koordinatorius
brake	stabdis
motivate	motyvuoti
facility	įrenginys
approximately	maždaug
dimension	dimensija
transition	perėjimas
needle	adata
recover	atsigauti
asian	azijos
regime	režimą
mean	reiškia
flexible	lanksti
accelerate	paspartinti
issue	klausimas
connection	ryšys
insect	vabzdys
especially	ypač
auto	automatinis
bathroom	vonia
lean	liesas
shoulder	petys
burning	deginimas
tube	vamzdis
lawyer	teisininkas
inherit	paveldėti
anyway	vistiek
meat	mėsa
dangerous	pavojinga
treatment	gydymas
interval	intervalas
previous	ankstesnis
were	buvoo
devastating	pražūtingas
jacket	striukė
democrat	demokratas
envelope	voką
innovation	naujovės
near	arti
dilemma	dilema
architecture	architektūra
reduce	sumažinti
trade	prekyba
dealer	prekiautojas
chef	virėjas
horizon	horizonto
shape	figūra
blessing	palaiminimas
inspire	įkvėpti
shark	ryklys
was	buvo
reject	atmesti
site	svetainėje
load	apkrauti
vary	skiriasi
thanksgiving	padėkos
airline	oro linijų bendrovė
representation	atstovavimas
dare	išdrįsti
look up	ieškoti
finger	pirštu
scope	taikymo sritis
expedition	ekspedicija
importantly	svarbiausia
pull off	nutempti
mode	režimu
bear	turėti
species	rūšis
add	papildyti
communication	komunikacijos
think up	pramanyti
shower	dušas
business	verslas
practice	praktika
patient	pacientas
excuse	pasiteisinimas
face	veidas
event	įvykis
convention	konvencija
art	menas
fill up	pripildyti
magic	magija
margin	marža
draft	projektas
exercise	pratimas
plunge	pasinerti
protect	apsaugoti
sad	liūdnas
combat	kovoti
shrink	susitraukti
pulse	pulsas
natural	natūralus
reason	priežastis
alcohol	alkoholis
listener	klausytojas
fold	lankstyti
blank	tuščias
democratic	demokratijos
mouse	pelė
nerve	nervas
institutional	institucinis
return	grįžti
address	adresas
reading	skaitymas
terms	sąlygos
closest	arčiausiai
trace	pėdsakai
diet	mityba
suite	apartamentai
opportunity	galimybę
possibility	galimybė
speak	kalbėti
mansion	dvaras
revolution	revoliucija
cemetery	kapinės
presidency	pirmininkavimas
downtown	miesto centre
prevent	užkirsti kelią
incident	incidentas
stance	pozicija
storage	saugojimas
gross	bruto
moon	mėnulis
risky	rizikinga
desert	dykuma
pollution	tarša
integrity	vientisumas
grain	grūdai
pale	šviesiai
salt	druska
favor	nauda
may	gegužė
documentary	dokumentinis
always	visada
revenue	pajamų
sort	rūšiuoti
gather	rinkti
portrait	portretas
construct	statyti
roof	stogas
aside	nuošalyje
struggle	kova
quest	ieškojimas
flood	potvynių
saving	taupymas
scholarship	stipendija
dynamics	dinamika
angle	kampas
governor	gubernatorius
beautiful	išvaizdinga
hurry	paskubėti
british	britai
sing	dainuoti
aircraft	orlaivis
spokesman	atstovas
vitamin	vitaminas
count	skaičiuoti
hold	laikyti
throw up	apsivemti
good	geras
serving	tarnauja
peace	taika
funeral	laidotuvės
emotional	emocinis
relax	atsipalaiduoti
rail	geležinkelio
unit	vienetas
dominant	dominuojantis
interest	palūkanox
print out	atspausdinti
brick	plyta
railroad	geležinkelis
towel	rankšluostis
panel	skydelis
place	padėtis
owner	savininkas
digital	skaitmeninis
assess	įvertinti
deputy	pavaduotojas
republican	respublikinis
paper	popieriaus
assume	prisiimti
christmas	kalėdos
detective	detektyvas
crowded	perkrautas
arrest	areštuoti
stick out	styroti
acceptable	priimtinas
brand	prekės ženklas
then	tada
latter	pastarasis
mobile	mobiliojo ryšio
defensive	gynybinis
bend	sulenkti
closely	atidžiai
rhythm	ritmas
fine	gerai
fresh	šviežias
therefore	todėl
doctrine	doktrina
priority	prioritetas
menu	meniu
poem	eilėraštis
vulnerable	pažeidžiamas
page	puslapis
put out	užgesinti
consciousness	sąmonė
strength	jėga
cease	nutraukti
should	turėtų
responsible	atsakingas
tomato	pomidoras
note	pastaba
spray	purškalas
structural	struktūriniai
dessert	desertas
line up	surikiuoti
wage	darbo užmokestis
run up	iškelti
truly	nuoširdžiai
online	prisijungęs
almost	beveik
drill	grąžtas
temperature	temperatūra
religion	religija
donate	paaukoti
number	numeris
person	asmuo
education	švietimas
open	atviras
rhetoric	retorika
profession	profesija
guidance	rekomendacijas
openly	atvirai
block	blokuoti
discovery	atradimas
hence	taigi
loyal	ištikimas
runner	bėgikas
public	visuomenė
naturally	natūraliai
chronic	lėtinis
aluminum	aliuminis
transportation	transportavimas
ceremony	ceremonija
headquarters	būstinėje
coat	kailis
patch	pleistras
organization	organizacija
soul	siela
olympic	olimpinės
regardless	nepriklausomai
physics	fizika
naked	nuogas
christian	krikščionis
independent	nepriklausomas
health-care	sveikatos apsauga
expectation	lūkesčiai
forest	miškas
blanket	antklodė
ecological	ekologiškas
explanation	paaiškinimas
helpful	naudinga
sword	kardas
infection	infekcija
agency	agentūra
reader	skaitytojui
sofa	sofa
sit	sėdėti
thinking	mąstymas
cheap	pigūs
firm	firma
laser	lazeris
back	atgal
grass	žolė
illustrate	iliustruoja
chamber	kamera
mind	protas
pine	pušis
developer	programuotojas
directly	tiesiogiai
hurt	skauda
border	siena
piano	fortepijonas
unparalleled	neparareliniai
therapist	terapeutas
pie	pyragas
headache	galvos skausmas
cord	laidas
style	stilius
equip	įrengti
segment	segmentas
heat	šiluma
them	juos
oven	orkaitė
yes	taip
pump	siurblys
very	neišpasakytai
is	yra
beneath	žemiau
come off	nusilupti
low	žemas
bow	lankas
come up	atsirasti
bush	krūmas
absence	nebuvimas
ignore	ignoruoti
donor	donoras
divide	padalinti
slavery	vergovė
weakness	silpnumas
accounting	apskaita
gang	gauja
obstacle	kliūtis
boy	berniukas
flee	pabėgti
wipe	nuvalyti
type	tipas
symbol	simbolis
purse	piniginė
clothes	drabužiai
resident	gyventojas
comprise	apimti
feeling	jausmas
pick up	paimti
vegetable	daržovių
dirt	nešvarumai
third	trečias
closet	spinta
sudden	staigus
noise	triukšmas
sharply	smarkiai
grin	šypsnys
cooking	gaminimas
admire	žavėtis
consumption	vartojimas
extend	pratęsti
survivor	išgyvenęs
threshold	slenkstis
print	spausdinti
coastal	pakrantės
ago	prieš
eventually	galiausiai
unhappy	nelaimingas
convenience	patogumas
traffic	eismas
disclose	atskleisti
bride	nuotaka
boyfriend	vaikinas
protection	apsauga
let out	išleisti
run out	pasibaigti
indian	indijos
left	kairėje
gradually	palaipsniui
guitar	gitara
take	imtis
motivation	motyvacija
wrist	riešas
appearance	išvaizda
mortality	mirtingumas
plug in	prijungti
golden	auksinis
trap	gaudyklė
sheet	lapas
cancer	vėžys
spanish	ispanų
north	šiaurė
short-term	trumpalaikis
series	serijos
client	klientas
leaf	lapai
monthly	kas mėnesį
cap	dangtelis
arrange	suorganizuoti
head	galva
strange	keista
writer	rašytojas
presentation	pristatymas
modify	keisti
spectacle	reginys
see	pamatyti
well-known	garsus
wind up	sulikviduoti
creatures	išgimėliai
invisible	nematomas
lower	mažesnis
external	išorinis
lovely	mielas
including	įskaitant
yell	šaukti
grace	malonė
mentor	mentorius
garlic	česnakai
love	mylėti
fishing	žvejyba
palm	delnas
depending	priklausomai nuo
mechanical	mechaniniai
act	veikti
weigh	pasverti
between	tarp
retailer	mažmenininkas
egg	kiaušinis
salary	atlyginimas
receiver	imtuvas
office	biuras
cut	supjaustyti
monkey	beždžionė
win	laimėti
want	norįti
study	mokytis
throat	gerklė
lens	objektyvas
put off	išjungti
hospital	ligoninė
bless	palaiminti
disabled	išjungta
robot	robotas
nice	malonu
blade	ašmenys
construction	statybos
confession	išpažinimas
thrown	įmestas
banking	bankininkystė
gently	švelniai
snake	gyvatė
examine	išnagrinėti
lay	gulėti
garage	garažas
problem	problema
smoke	rūkyti
consider	apsvarstyti
criticism	kritika
outline	kontūras
control	valdyti
operator	operatorius
neighbor	kaimynas
hint	užuomina
regular	reguliariai
perception	suvokimas
identification	identifikavimas
reluctant	nenoriai
roman	romos
scent	kvapas
yours	tavo
manipulate	manipuliuoti
onion	svogūnas
reach	pasiekti
vacuum	vakuumas
magnetic	magnetinis
boss	bosas
settle	atsiskaityti
competitor	konkurentas
possession	valdymą
migration	migracija
driving	vairavimas
potato	bulvė
look	atrodyti
stay up	palaikyti
program	programa
hike	žygis
context	kontekste
slip	slydimas
select	pasirinkite
israeli	izraelis
stimulus	stimulas
uncomfortable	nepatogus
dish	patiekalas
limitation	apribojimas
prove	įrodyti
seemingly	atrodo
epidemic	epidemija
bad	blogai
disc	diskas
circumstance	aplinkybės
three	trys
wildlife	laukinės gamtos
blame	kaltas
sign out	atsijungti
grief	sielvartas
brown	ruda
philosophical	filosofinis
liver	kepenys
over	daugiau
mask	kaukė
raw	neapdorotas
handsome	gražus
fist	kumščiu
shame	gėda
staff	darbuotojai
outcome	rezultatas
accuracy	tikslumas
game	žaidimas
spare	atsarginės
thigh	šlaunis
worker	darbuotojas
banana	bananas
special	ypatingas
abandon	palikti
carrot	morka
feature	bruožas
calm down	nusiraminti
activity	veikla
size	dydis
undergo	atlikti
correct	teisingas
past	praeitis
reality	tikrovė
fortunately	laimei
nomination	nominacija
bull	bulius
fairly	teisingai
magnitude	dydid
indicator	rodiklis
breathing	kvėpavimas
tend	linkę
choice	pasirinkimas
hostage	įkaitas
birth	gimdymas
theology	teologija
nut	veržlė
critical	kritiškai
blow off	nupūsti
psychological	psichologinis
commit	įsipareigoti
threw	metė
eat up	suvalgyti
shrug	shrug
normal	normalus
ban	uždrausti
analyze	analizuoti
chief	viršininkas
steel	plieno
frame	rėmas
similarity	panašumas
soap	muilas
device	prietaisas
disappointed	nusivylęs
shorts	šortai
weekly	savaitę
back off	atsiriboti
week	savaitė
policeman	policininkas
illegal	neteisėtas
two-thirds	du trečdaliai
agriculture	žemdirbystė
isolation	izoliacija
final	galutinis
nearby	netoliese
ancient	senovės
suspicion	įtarimas
implementation	įgyvendinimą
cookie	slapukas
indicate	nurodyti
leader	lyderis
t-shirt	marškinėliai
pursue	siekti
royal	karališkas
sponsor	rėmėjas
rock	akmuo
african-american	afroamerikietis
influence	įtaka
activist	aktyvistas
habit	įprotis
mechanism	mechanizmas
irony	ironija
haughty	išdykęs
modern	modernus
motor	variklis
church	bažnyčia
equipment	įranga
horror	siaubas
cling	laikosi
boring	nuobodus
american	amerikos
efficient	efektyvus
eye	akis
expected	tikimasi
money	pinigai
usual	įprasta
ruin	sugadinti
accountability	atskaitomybė
system	sistema
performer	atlikėjas
mill	malūnas
root	šaknis
conscience	sąžinė
hold out	ištiesti
dawn	aušra
experiment	eksperimentas
validity	galiojimas
children	vaikai
drive	vairuoti
adult	suaugusiųjų
room	kambarys
kid	vaikas
ash	pelenai
burn down	sudegti
surface	paviršius
cold	šalta
spread	išplisti
loop	kilpa
hazard	pavojus
limited	ribotas
unlike	skirtingai
pig	kiaulė
figure	skaičius
rubber	guma
initially	iš pradžių
rehabilitation	reabilitacija
unlikely	tikėtina
boat	valtis
phase	etapas
painting	paveikslas
tooth	dantis
witness	liudytojas
given	pateikta
artistic	meninis
honey	medus
emphasis	pabrėžimas
ethnic	etninės
coin	moneta
derive	gauti
present	pateikti
thing	dalykas
bring up	auginti
particle	dalelė
thanks	dėkoju
widely	plačiai
painter	tapytojas
things	dalykai
count up	suskaičiuoti
mortgage	hipotekos
newspaper	laikraštis
safely	saugiai
missing	dingęs
relief	palengvėjimas
hunter	medžiotojas
television	televizija
promising	perspektyvus
improved	pagerintas
day	diena
widespread	plačiai paplitęs
fail	nepavyksta
until	iki
flower	gėlė
reaction	reakcija
origin	kilmę
cart	krepšelis
discrimination	diskriminacija
wander	klajoti
simultaneously	tuo pačiu metu
pressure	slėgis
dear	brangus
fraud	sukčiavimu
factor	veiksnys
private	privatus
resign	pasitraukti
trim	apkarpyti
commander	vadas
overcome	įveikti
human	žmogus
repeatedly	pakartotinai
hate	nekęsti
percentage	procentais
dip	panardinti
jet	reaktyvinis
accent	akcentas
sick	serga
pasta	makaronai
sir	pone
adolescent	paauglys
lunch	pietūs
personal	asmeninis
become	tapti
response	atsakas
respond	atsakyti
break	pertrauka
arise	kilti
current	srovė
thank	ačiū
meaning	prasme
slice	gabalas
lion	liūtas
strongly	stipriai
framework	sistemą
preference	pirmenybė
gentle	švelnus
processor	procesorius
japanese	japonų kalba
mess up	sujaukti
united	jungtinė
exclusive	išskirtinis
melt	lydyti
array	masyvas
greet	pasveikint
works	veikia
alternative	alternatyva
strain	štamas
landmark	orientyras
christianity	krikščionybė
uncertainty	netikrumas
hearing	klausymas
horse	arklys
sidewalk	šaligatvis
specialize	specializuojasi
pain	skausmas
terrific	nuostabus
unity	vienybė
daughter	dukra
opening	atidarymas
edit	redaguoti
efficiency	efektyvumą
chart	diagrama
installation	diegimas
peer	bendraamžis
islam	islamas
adjustment	koregavimas
productive	produktyvus
stare	spoksoti
coup	perversmas
amazing	nuostabi
chemistry	chemija
glimpse	žvilgsnis
festival	festivalis
astonishment	nuostaba
convict	nuteisti
leadership	vadovavimas
appropriate	tinkama
potential	potencialus
horn	ragas
crazy	išprotėjęs
merchant	prekybininkas
battle	mūšis
body	kūnas
screen	ekranas
crew	įgula
impact	poveikį
shade	atspalvis
eat	valgyti
conclusion	išvada
enraged	įsiuto
couple	pora
oral	žodžiu
hi	labas
perceive	suvokti
valley	slėnyje
rush	skubėti
one	vienintelis
democracy	demokratija
wife	žmona
highly	labai
idea	idėja
eleven	vienuolika
burn out	perdegti
on	įjungtas
jar	stiklainis
check	patikrinti
both	abu
legacy	palikimas
lay down	atsigulti
age	amžius
drop off	išmesti
lip	lūpa
surprise	staigmena
regulatory	reguliavimo
participant	dalyvis
infant	kūdikis
majority	dauguma
department	departamentas
giant	milžinas
civilization	civilizacija
tape	juosta
tradition	tradicija
literally	pažodžiui
acid	rūgštis
basketball	krepšinis
butter	sviestas
anyone	kas nors
suburban	priemiesčio
yield	derlius
capacity	pajėgumus
search	paieška
urban	miesto
breast	krūtis
capital	kapitalas
photography	fotografija
rip	ištrinti
standard	standartas
liberty	laisvę
freedom	laisvė
russian	rusų
tourism	turizmas
keep up	laikytis
spy	šnipas
artist	menininkas
socially	socialiai
workplace	darbo vietoje
cooperation	bendradarbiavimas
cab	taksi
seminar	seminaras
clear	aišku
exotic	egzotiškas
knee	kelio
capability	gebėjimas
rack	stovas
can	galėti
jeans	džinsai
injury	žalos
gym	sporto salė
steak	kepsnys
break down	sulaužyti
off	išjungtas
milk	pienas
environment	aplinką
word	žodis
goodness	gerumėlis
world	pasaulis
middle	vidurys
spell	rašybos
sock	kojinės
spirit	dvasia
refuge	prieglobstis
alive	gyvas
articulate	suformuluoti
stretch	ruožas
comparison	palyginimas
nervous	nervingas
ancestor	protėviai
attempt	bandymas
jewish	žydų
crisis	krizė
inquiry	tyrimas
ski	slidinėjimas
extra	papildomai
etc	ir tt
testing	bandymai
additional	papildomas
fifteen	penkiolika
demonstration	demonstracija
park	parkas
someday	kada nors
regain	atgauti
factory	gamykla
minute	minutė
mud	purvas
native	gimtoji
fly	skristi
dust	dulkės
schedule	tvarkaraštis
map	žemėlapis
effort	pastangos
undergraduate	bakalaurp
invade	įsiveržti
perfectly	puikiai
primarily	visų pirma
storm	audra
secondary	antrinis
display	rodyti
mexican	meksikos
destination	kelionės tikslas
increase	padidinti
laughter	juokas
board	lenta
operation	operacija
intervention	intervencijos
privately	privačiai
color	spalva
output	išvestis
tea	arbata
live	gyventi
removal	pašalinimas
sunny	saulėtas
fair	šviesus
concrete	betonas
pour	supilkite
mess	netvarka
partially	iš dalies
attract	pritraukti
recording	įrašymas
ie	t.y
enforce	vykdyti
fun	linksma
family	šeima
musical	muzikinis
kitchen	virtuvė
fund	paremti
makeup	makiažas
pot	puodas
palace	rūmai
indigenous	vietinis
uncle	dėdė
concerning	dėl
perceived	suvokiama
trainer	treneris
stack	kaminas
wilderness	dykumoje
colorful	spalvingas
exhaust	išmetimas
seize	konfiskuoti
flexibility	lankstumas
bloody	kruvinas
campaign	kampanija
scary	baugus
tunnel	tunelis
blow out	išpūsti
chip	lustas
shortly	netrukus
veteran	veteranas
enjoy	mėgautis
championship	čempionatas
material	medžiaga
muslim	musulmonai
immigrant	imigrantas
northwest	šiaurės vakarai
shine	šviesti
weight	svoris
signature	parašas
could	galėjo
hockey	ledo ritulys
verbal	žodinis
wine	vynas
greek	graikų
distinct	atskriti
free	laisvas
stable	stabilus
up	aukštyn
claim	reikalauti
cell	ląstelė
tent	palapinę
curve	kreivė
consequently	atitinkamai
educator	pedagogas
upon	ant
name	vardas
star	žvaigždė
attack	ataka
inside	viduje
mental	protinis
suffering	kančios
viewer	žiūrovas
﻿ask out	paklausti
educational	švietimo
clinic	klinika
freely	laisvai
bowl	dubuo
hesitate	dvejoti
italian	italų kalba
cloud	debesis
residential	gyvenamasis
session	sesijos metu
king	karalius
her	jai
port	uostas
him	jam
stiff	standus
drift	dreifas
transaction	sandoris
already	jau
bury	palaidoti
monument	paminklas
rest	poilsis
ankle	kulkšnis
auction	aukcione
drag	vilkti
political	politinis
miracle	stebuklas
conservation	išsaugojimas
birthday	gimtadienis
opposed	priešinosi
these	šie
lift	liftas
typical	būdinga
dump	sąvartynas
population	populiacija
identical	identiški
clean	švarus
province	provincijoje
supply	tiekimas
intimate	intymūs
apparently	matyt
exclusively	išimtinai
punch in	įmušti
expert	ekspertas
recommend	rekomenduoti
whose	kurių
intact	nepažeistas
actress	aktorė
plant	augalas
five	penki
unprecedented	precedento neturintis
oak	ąžuolas
dense	tankus
cream	grietinėlė
seven	septyni
flying	skraidantis
totally	visiškai
sweetness	saldumėlis
volume	apimtis
extension	pratęsimas
beat up	sumušti
go down	nukristi
data	duomenis
biography	biografija
advocate	advokatas
formal	formalus
lobby	lobis
if	jei
surround	apsupti
latin	lotynų
bitter	kartus
verdict	nuosprendis
stove	viryklė
acquire	įsigyti
wedding	vestuvės
diamond	deimantas
yellow	geltona
comfort	komfortas
previously	anksčiau
female	moteris
architect	architektas
equal	lygus
hope	viltis
appreciate	vertinti
negotiate	derėtis
dam	užtvanka
myth	mitas
successful	sėkmingai
pastor	pastorius
trail	takas
again	darkart
fork	šakutė
assignment	priskyrimas
comedy	komedija
loss	nuostolis
tribe	gentis
exposure	poveikis
poet	poetas
impressive	įspūdingas
eighth	aštuntoji
nothing	nieko
prime	pagrindinis
lost	prarado
racial	rasinės
consistent	nuosekliai
meantime	kol kas
pilot	pilotas
indeed	iš tikrųjų
praise	pagirti
wagon	vagonas
regulator	reguliatorius
virtually	praktiškai
fragment	fragmentas
secretary	sekretorius
catalog	katalogas
narrow	siauras
least	mažiausiai
practical	praktiškas
brilliant	puikus
they	jie
iron	geležies
working	darbo
daily	kasdien
debate	diskusijos
virtual	virtualus
reflection	atspindys
he	jis
interfere	trukdyti
swallow	nuryti
pride	pasididžiavimas
tournament	turnyras
hit	suduoti
attitude	požiūris
grandparent	seneliai
waste	atliekos
curriculum	mokymo planas
bucket	kibiras
aesthetic	estetinis
feedback	atsiliepimas
treat	gydyti
squad	būrys
ideological	ideologinis
everyday	kiekvieną dieną
blast	sprogimas
characteristic	charakteristika
shortage	trūkumas
armed	ginkluotas
worry	nerimauti
shit	šūdas
doubt	abejonės
nevertheless	vis dėlto
cattle	galvijai
space	erdvė
proclaim	skelbti
ownership	nuosavybė
moral	moralinis
extended	pratęstas
assistant	asistentas
rat	žiurkė
equality	lygybė
